word    score
network    8.92691798378
service    2.64399756657
address    2.20513415128
ip    2.04749833359
traffic    1.96287621738
protocol    1.58033830096
information    1.52843799538
message    1.4103110332
method    1.37555219816
interface    1.36741404317
routing    1.36361329337
virtual    1.33450161678
connection    1.32598109761
switch    1.31806005142
user    1.22863705838
router    1.18756375627
server    1.18693348892
element    1.131635434
gateway    1.12413091543
multicast    1.08914444997
channel    5.52180027565    
signal    5.23492659824    
transmission    2.78712834621    
control    2.77914301963    
information    2.42559847152    
frequency    2.25118505786    
uplink    2.01598209059    
time    1.95669472074    
downlink    1.7649869582    
signals    1.7490474585    
resource    1.73446466098    
method    1.72816888932    
power    1.69296225063    
transmitting    1.48538341379    
frame    1.38198081009    
carrier    1.363829103    
second    1.29121397092    
user    1.2434689989    
plurality    1.24038328987    
reference    1.2289152823
packet    11.1673892759
packets    3.23753983024
header    1.15102124035
destination    1.11326249903
processing    1.09191998864
port    1.0401055258
flow    0.957486364076
received    0.893095001087
switch    0.854994353317
forwarding    0.788074810468
queue    0.773519153928
address    0.76513897945
buffer    0.624053962527
memory    0.575432877811
source    0.573415698507
time    0.54971573233
based    0.542905022125
value    0.533497917235
includes    0.524999386191
table    0.496425765514
node    10.782385101
nodes    3.55287835115
path    1.29407750818
second    1.24206475597
message    0.911383213099
source    0.878441124828
destination    0.8432008443
relay    0.691148653631
network    0.668088081397
link    0.613175292437
routing    0.573605799772
route    0.566722554918
mobile    0.50535947466
intermediate    0.430794902207
method    0.397600066818
information    0.359483365674
plurality    0.34027852425
neighbor    0.338936507605
ring    0.331874960409
time    0.331164197999
station    9.02792475705
base    6.4273891004
mobile    4.3153344049
stations    1.85673694405
radio    1.27408913075
relay    0.874132270296
terminal    0.777695048204
cell    0.651312392304
message    0.640005734084
uplink    0.623042603563
handover    0.610705314903
information    0.591630643257
downlink    0.472777245172
transmits    0.434475153937
serving    0.426404773649
subscriber    0.402560321913
resource    0.385527392439
method    0.329976141215
request    0.314307989135
target    0.311162620794
